"landingPagePlusQueryString","deviceCategory","sessions","engagedSessions","conversions","totalRevenue","ecommercePurchases"
"/calca-feminina-boot-cut-julia?recommendation=1&st=produto:similaridade&fbclid=PAdGRleAPuhqtleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaftqXqg83qMLsJD0CDKhA3HI56wHK6w5NwzSPKw4bcmiY9xOti3tHAhVlqRxg_aem_al7asPUC3rV874HT3Pl9_g","mobile","3","3","3","0","0"
"/calca-feminina-cargo-cabana","mobile","3","3","3","0","0"
"/calca-skinny-feminina-cabana-basic","mobile","3","3","4","0","0"
"/calca-skinny-feminina-carrossel","mobile","3","3","3","0","0"
"/calca-skinny-feminina-pampa","mobile","3","3","11","0","0"
"/camisa-cropped-feminino-cabana?inStock=","mobile","3","3","8","0","0"
"/camisete-feminina-roseli","mobile","3","3","8","0","0"
"/camisola-feminina-cabana","mobile","3","3","3","0","0"
"/casaco-feminino-soft-alongado-ayla-2097?inStock=","mobile","3","3","9","0","0"
"/casaco-feminino-soft-luma?inStock=&media_type=image&fbclid=PAdGRleARi1LBleHRuA2FlbQEwAGFkaWQAAAZOJWbOZnNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABpxXtliwY-J4OhFehRZagruVRyG9VxEessHUXHIzAD2bkZBHgJofb4bW1vhGh_aem_qBLLSZx-pRUMiBX2lzlKkA","mobile","3","3","3","0","0"
"/casaco-feminino-ted-borregos","mobile","3","3","4","0","0"
"/casaco-soft-lais","mobile","3","2","3","0","0"
"/chemise-feminina-bridao-1944","mobile","3","3","5","0","0"
"/chemise-feminina-bridao?fbclid=PAdGRzdgRaOD9leHRuA2FlbQIxMQBzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeYNb2r9JLj-Hl-ksl3XBIrlX-1QWgt4uZZ41CmclEJejuq25-8E3XFCos0hA_aem_091BBYn2BbKlcHpVV6x0fg","mobile","3","3","3","0","0"
"/cinto-cb-cabana-dourado","mobile","3","3","4","0","0"
"/colar-feminino-choker-cabana-2073u","mobile","3","3","7","0","0"
"/colete-feminino-lia","mobile","3","3","3","0","0"
"/colete-feminino-paula","mobile","3","3","5","0","0"
"/colete-fronteira-1721marrom","mobile","3","3","5","0","0"
"/cropped-feminino-nubia","mobile","3","3","6","0","0"
"/cropped-feminino-zoe","mobile","3","3","6","0","0"
"/femininocabana?p=2&fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGJkEGev5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadRPOiTF8HZ6LfMeU9nBcXz03zvpQHS4LcGxJwhfCXXN7Fcpjh3px1UjJf2Lg_aem_trjSd08krH-FuIr3_mCUVg","mobile","3","0","0","0","0"
"/femininocabana?q=&subcat=8","mobile","3","1","4","517.859998","1"
"/femininocabana?subcat=8","mobile","3","1","4","0","0"
"/inverno?fbclid=PAVERFWAQeIARleHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaffQ5XyK4CzRjB7ibUecUU5HbQnnR0w9AsvQb1OtbPtgMBACbY6Dsv71bjXZQ_aem_VY8p2AtsXQF1OOoxNPFlcw","mobile","3","0","0","0","0"
"/inverno?p=2&fbclid=PAdGRleARgl8FleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacnN5wFHmjNqs9BfjNBJKWOTGkPqwEYfcGAgY8SPM4NC4JHDaUw6mqbsIy1YA_aem_Wwfps0oA6cHJzv7skIY1Lg","mobile","3","0","0","0","0"
"/jaqueta-feminina-maxi-valentina?inStock=","mobile","3","3","5","0","0"
"/lancamentos?p=2","mobile","3","0","0","0","0"
"/login?action=recovery&token=d253fd6fc904fdf5d5de65beba80814a","mobile","3","2","0","0","0"
"/login?redir=https%3A%2F%2Fwww.cabanaequestrian.com.br%2Fcliente%2Fatendimento","mobile","3","3","0","0","0"
"/login?redir=https%3A%2F%2Fwww.cabanaequestrian.com.br%2Fcliente%2Ffavoritos","mobile","3","1","0","0","0"
"/oculos-cabana-ayla-2176u","mobile","3","3","3","0","0"
"/pulseira-feminina-horse-preto?inStock=&fbclid=IwYW9leAQWjtdleHRuA2FlbQEwAGFkaWQAAAZF7_R1znNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6We8MOH2viPlgFk9tPm16ysfuGPyegZgmhgrBfQZEhjjmPmIzvPk9-URKGqA_aem_igsxvng0QytUe5IuG7zsew","mobile","3","3","3","0","0"
"/pulseira-feminina-lacos-2074u?inStock=&fbclid=IwYW9zYgQ1DhVleHRuA2FlbQEwAGFkaWQAAAZJPh0PznNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHtUkjbHebwNfQeXW-TcukQpu1XqgMBa2B5J-udSgWN-aiD8Y7hrGB_Bqhn3K_aem_vhfgbxIoKBwarzUPOsV41Q","mobile","3","3","3","0","0"
"/regata-feminina-aurora?inStock=","mobile","3","3","4","0","0"
"/saia-feminina-courino-off-white?inStock=","mobile","3","3","10","0","0"
"/shorts-jeans-cabana","mobile","3","3","5","0","0"
"/t-shirt-cavalgada","mobile","3","3","15","0","0"
"/t-shirt-cavalgada?inStock=","mobile","3","3","4","0","0"
"/t-shirt-feminina-andreza","mobile","3","3","5","0","0"
"/t-shirt-feminina-brenda-2243","mobile","3","3","5","0","0"
"/t-shirt-feminina-bridao-talita?inStock=","mobile","3","3","21","0","0"
"/t-shirt-feminina-laura","mobile","3","3","3","0","0"
